Genre ;Titre;Durée (en minutes)
Action;Mad Max:Fury Road;120
Action;Deadpool;108
Action;Kill Bill : Volume 1;111
Action;Kingsman;129
Action;Taken;93
Action;Le Transporteur;92
Science-fiction;Retour Vers Le Futur;116
Science-fiction;2001:L'Odyssée de l'espace;139
Science-fiction;Inception;148
Science-fiction;Avatar;178
Science-fiction;Terminator;107
Science-fiction;District 9;113
Comédie;Good Morning England;135
Comédie;Les Tontons Flingueurs;105
Comédie;Les Visiteurs;107
Comédie;Astérix et Obélix : Mission Cléopâtre;107
Comédie;Babysitting 2;93
Comédie;Very Bab Trip;100
Western;Django Unchained;165
Western;Il était une fois dans l'Ouest;180
Western;Le Bon, la Brute et le Truand;161
Western;Diablo;90
Western;Vera Cruz;94
Western;Mon nom est Personne;117
Dessin Animé;Ratatouille;111
Dessin Animé;Le Voyage de Chihiro;124
Dessin Animé;Les Nouveaux Héros;102
Dessin Animé;Cendrillon;74
Dessin Animé;WALL-E;98
Dessin Animé;Le Tombeau Des Lucioles;89
Documentaire;Sugar Man;86
Documentaire;Human;188
Documentaire;We Feed The World;96
Documentaire;Marley;144
Documentaire;Demain;118
Documentaire;Oceans;104
Historique;Twelve Years A Slave;133
Historique;Le Pianiste;144
Historique;Le Labyrinthe du silence;120
Historique;Le discours d'un roi;118
Historique;Troie;163
Historique;Invictus;134
Drame;Fight Club;139
Drame;Titanic;188
Drame;Mommy;134
Drame;Into the Wild;147
Drame;La Ligne Verte;188
Drame;Forrest Gump;142
Romance;N'oublie Jamais;123
Romance;L'arnacoeur;105
Romance;Le Secret de Brokeback Moutain;134
Romance;Orgueil et Préjugés;127
Romance;PS I Love You;126
Romance;La Boum;114
Comédie Musical;La Mélodie Du Bonheur;174
Comédie Musical;Grease;110
Comédie Musical;Mamma Mia;108
Comédie Musical;West Side Story;152
Comédie Musical;Les Misérables ;159
Comédie Musical;Hairspray;115
